keySpace.keys,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.102777793,-0.276851863,1,0,0,2.290955,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/902022_left.png,stimuli/lakes/902022_right.png,,,,0,21,21,22,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.153703693,-0.381481551,1,0,0,1.24751,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/607094_left.png,stimuli/lakes/607094_right.png,,,space,0,22,22,94,1,2.444765,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.163888905,-0.420370384,1,0,0,1.165225,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/402015_left.png,stimuli/lakes/402015_right.png,,,,0,23,23,15,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.172222238,-0.436111125,1,0,0,0.89537,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/40102_left.png,stimuli/lakes/40102_right.png,,,,0,24,24,2,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.153703693,-0.328703716,1,0,0,1.727345,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/1090119_left.png,stimuli/lakes/1090119_right.png,,,,0,25,25,119,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.129629645,-0.291666678,1,0,0,1.95729,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/70107_left.png,stimuli/lakes/70107_right.png,,,,0,26,26,7,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.146296229,-0.324074086,1,0,0,1.936275,scale,,,,,,0.174513954,0.141421356,0.349027907,0.282842712,stimuli/lakes/2090120_left.png,stimuli/lakes/2090120_right.png,,,,0,27,27,120,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.076851866,-0.25185192,1,0,0,1.561785,scale,,,,,,0.326485712,0.264575131,0.21373507,0.173205081,stimuli/lakes/704047_left.png,stimuli/lakes/704047_right.png,,,,0,28,28,47,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.040740728,-0.241666678,1,0,0,3.64544,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/804057_left.png,stimuli/lakes/804057_right.png,,,,0,29,29,57,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,0.07592594,-0.260185197,1,0,0,1.603105,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/803030_left.png,stimuli/lakes/803030_right.png,,,,0,30,30,30,1,,,,,
,,,,,,$5ec2ccb9bb23250d7ee425db,2020-07-20_14h38.56.898,fisher_task,2020.1.3,Win32,60,IwAR3TdExosWQJQBjV0ss3H59nqxlsONppn7wAdTuJqZAFVcI318DU3gLgoWg,-0.166666656,-0.38703705,1,0,0,1.58211,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/807096_left.png,stimuli/lakes/807096_right.png,,,,0,31,31,96,1,,,,,
