keySpace.keys,keySpace.rt,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,instructions.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training.ran,widthBasketLeft,heightBasketLeft,widthBasketRight,heightBasketRight,leftLake,rightLake,space2.keys,space2.rt,space1.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,space1.rt,finalSpace1.keys,finalSpace1.rt,finalSpace2.keys,finalSpace2.rt
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.188888921,-0.379629712,1,0,0,4.629095,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/60106_left.png,stimuli/lakes/60106_right.png,,,,0,26,26,6,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.191666646,-0.385185268,1,0,0,3.48002,scale,,,,,,0.2468,0.2,0.302267034,0.244948974,stimuli/lakes/4090124_left.png,stimuli/lakes/4090124_right.png,,,,0,27,27,124,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.199999979,-0.425925954,1,0,0,1.815175,scale,,,,,,0.3702,0.3,0.1234,0.1,stimuli/lakes/9070106_left.png,stimuli/lakes/9070106_right.png,,,,0,28,28,106,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.060185213,-0.224074152,1,0,0,6.26066,scale,,,,,,0.21373507,0.173205081,0.326485712,0.264575131,stimuli/lakes/306082_left.png,stimuli/lakes/306082_right.png,,,,0,29,29,82,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.191666699,-0.355555581,1,0,0,3.42977,scale,,,,,,0.302267034,0.244948974,0.2468,0.2,stimuli/lakes/602017_left.png,stimuli/lakes/602017_right.png,,,,0,30,30,17,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.192592625,-0.392592619,1,0,0,5.47816,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/104041_left.png,stimuli/lakes/104041_right.png,,,,0,31,31,41,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.185185217,-0.400925953,1,0,0,2.38104,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/103032_left.png,stimuli/lakes/103032_right.png,,,,0,32,32,32,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.178703736,-0.337963044,1,0,0,2.73015,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/106080_left.png,stimuli/lakes/106080_right.png,,,,0,33,33,80,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,-0.19074072,-0.37870373,1,0,0,2.06508,scale,,,,,,0.349027907,0.282842712,0.174513954,0.141421356,stimuli/lakes/806078_left.png,stimuli/lakes/806078_right.png,,,,0,34,34,78,1,,,,,
,,,,,,,$participant_id,2020-07-09_13h46.14.480,fisher_task,2020.1.3,Win32,60,IwAR0ukC7OKkr6FcaJuLjCIz0k9s_mGJ0m6iJexdJsibCL-S3CxwrlWgyBN4c,0.198148181,-0.399074157,1,0,0,2.19769,scale,,,,,,0.1234,0.1,0.3702,0.3,stimuli/lakes/104050_left.png,stimuli/lakes/104050_right.png,,,,0,35,35,50,1,,,,,
